berth_id,port_id,berth_name,commodity,max_loa_m,max_beam_m,max_draft_m,handling_rate_tpd,source,data_type
NEWCASTLE_BERTH_1,NEWCASTLE,Kooragang Coal Terminal 1,THERMAL_COAL,290.0,47.0,16.2,38000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
NEWCASTLE_BERTH_2,NEWCASTLE,Port Waratah Coal Berth 2,COKING_COAL,290.0,47.0,16.2,38000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
NEWCASTLE_BERTH_3,NEWCASTLE,Carrington Coal Berth 3,THERMAL_COAL,300.0,50.0,16.5,40000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
GLADSTONE_BERTH_1,GLADSTONE,R.G. Tanna Coal Terminal 1,THERMAL_COAL,310.0,52.0,18.8,42000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
GLADSTONE_BERTH_2,GLADSTONE,Barney Point Coal Berth 2,COKING_COAL,310.0,52.0,18.8,42000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
HAMPTON_ROADS_BERTH_1,HAMPTON_ROADS,Pier 6 Coal Terminal,COKING_COAL,295.0,46.0,16.0,32000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
HAMPTON_ROADS_BERTH_2,HAMPTON_ROADS,DTA Coal Terminal,THERMAL_COAL,290.0,45.0,15.5,30000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
BALTIMORE_BERTH_1,BALTIMORE,Curtis Bay Coal Pier,COKING_COAL,285.0,44.0,15.2,28000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
MAPUTO_BERTH_1,MAPUTO,Matola Coal Terminal 1,THERMAL_COAL,245.0,36.0,14.0,20000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
MAPUTO_BERTH_2,MAPUTO,Matola Coal Terminal 2,COKING_COAL,245.0,36.0,14.0,20000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
NACALA_BERTH_1,NACALA,Nacala-a-Velha Coal Terminal 1,THERMAL_COAL,295.0,48.0,19.0,32000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
NACALA_BERTH_2,NACALA,Nacala-a-Velha Coal Terminal 2,COKING_COAL,295.0,48.0,19.0,32000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
TABONEO_BERTH_1,TABONEO,Taboneo Offshore Transshipment 1,THERMAL_COAL,255.0,40.0,14.5,18000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
SAMARINDA_BERTH_1,SAMARINDA,Muara Berau Coal Anchorage 1,THERMAL_COAL,220.0,32.0,12.0,16000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
PARADIP_BERTH_1,PARADIP,Mechanised Coal Berth 1,THERMAL_COAL,255.0,38.0,15.0,28000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
PARADIP_BERTH_2,PARADIP,South Quay Coal Berth 2,COKING_COAL,255.0,38.0,15.0,28000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
PARADIP_BERTH_3,PARADIP,Central Quay Coal Berth 3,COKING_COAL,260.0,40.0,15.5,30000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
VISAKHAPATNAM_BERTH_1,VISAKHAPATNAM,General Cargo Berth Coal 1,THERMAL_COAL,260.0,40.0,16.0,28000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
VISAKHAPATNAM_BERTH_2,VISAKHAPATNAM,Outer Harbour Coal Berth 2,COKING_COAL,275.0,42.0,16.5,30000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
VISAKHAPATNAM_BERTH_3,VISAKHAPATNAM,East Quay Bulk Berth 3,COKING_COAL,280.0,45.0,17.0,32000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
GANGAVARAM_BERTH_1,GANGAVARAM,Deepwater Coal Berth 1,COKING_COAL,300.0,48.0,19.0,35000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
GANGAVARAM_BERTH_2,GANGAVARAM,Deepwater Coal Berth 2,THERMAL_COAL,300.0,48.0,19.0,35000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
GANGAVARAM_BERTH_3,GANGAVARAM,Multipurpose Bulk Berth 3,COKING_COAL,290.0,46.0,18.5,32000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
DHAMRA_BERTH_1,DHAMRA,East Bulk Terminal 1,THERMAL_COAL,300.0,48.0,18.8,35000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
DHAMRA_BERTH_2,DHAMRA,East Bulk Terminal 2,COKING_COAL,300.0,48.0,18.8,35000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
DHAMRA_BERTH_3,DHAMRA,Bulk Cargo Jetty 3,THERMAL_COAL,290.0,46.0,18.5,32000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
GOPALPUR_BERTH_1,GOPALPUR,Gopalpur Coal Berth 1,THERMAL_COAL,225.0,32.5,13.5,18000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
GOPALPUR_BERTH_2,GOPALPUR,Gopalpur Bulk Berth 2,COKING_COAL,225.0,32.5,13.5,18000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
SAGAR_SANDHEADS_BERTH_1,SAGAR_SANDHEADS,Sagar Anchorage Point A,THERMAL_COAL,220.0,32.0,11.2,14000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
SAGAR_SANDHEADS_BERTH_2,SAGAR_SANDHEADS,Sagar Anchorage Point B,COKING_COAL,220.0,32.0,11.2,14000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
HALDIA_BERTH_1,HALDIA,Haldia Dock Berth 4A,THERMAL_COAL,210.0,31.0,10.2,15000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
HALDIA_BERTH_2,HALDIA,Haldia Dock Berth 4B,COKING_COAL,210.0,31.0,10.2,15000.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
