route_id,origin_port_id,destination_port_id,commodity,distance_nm,typical_sailing_days,source,data_type
NEWCASTLE_PARADIP_THERMAL,NEWCASTLE,PARADIP,THERMAL_COAL,5350.0,15.9,SYNTHETIC_GENERATOR_V1,SYNTHETIC
NEWCASTLE_PARADIP_COKING,NEWCASTLE,PARADIP,COKING_COAL,5350.0,15.9,SYNTHETIC_GENERATOR_V1,SYNTHETIC
NEWCASTLE_VISAKHAPATNAM_COKING,NEWCASTLE,VISAKHAPATNAM,COKING_COAL,5420.0,16.1,SYNTHETIC_GENERATOR_V1,SYNTHETIC
NEWCASTLE_HALDIA_THERMAL,NEWCASTLE,HALDIA,THERMAL_COAL,5480.0,16.3,SYNTHETIC_GENERATOR_V1,SYNTHETIC
GLADSTONE_PARADIP_COKING,GLADSTONE,PARADIP,COKING_COAL,5180.0,15.4,SYNTHETIC_GENERATOR_V1,SYNTHETIC
GLADSTONE_VISAKHAPATNAM_COKING,GLADSTONE,VISAKHAPATNAM,COKING_COAL,5250.0,15.6,SYNTHETIC_GENERATOR_V1,SYNTHETIC
GLADSTONE_GANGAVARAM_COKING,GLADSTONE,GANGAVARAM,COKING_COAL,5260.0,15.7,SYNTHETIC_GENERATOR_V1,SYNTHETIC
GLADSTONE_DHAMRA_THERMAL,GLADSTONE,DHAMRA,THERMAL_COAL,5150.0,15.3,SYNTHETIC_GENERATOR_V1,SYNTHETIC
TABONEO_PARADIP_THERMAL,TABONEO,PARADIP,THERMAL_COAL,2350.0,7.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
TABONEO_VISAKHAPATNAM_THERMAL,TABONEO,VISAKHAPATNAM,THERMAL_COAL,2280.0,6.8,SYNTHETIC_GENERATOR_V1,SYNTHETIC
TABONEO_DHAMRA_THERMAL,TABONEO,DHAMRA,THERMAL_COAL,2380.0,7.1,SYNTHETIC_GENERATOR_V1,SYNTHETIC
SAMARINDA_PARADIP_THERMAL,SAMARINDA,PARADIP,THERMAL_COAL,2520.0,7.5,SYNTHETIC_GENERATOR_V1,SYNTHETIC
SAMARINDA_VISAKHAPATNAM_THERMAL,SAMARINDA,VISAKHAPATNAM,THERMAL_COAL,2450.0,7.3,SYNTHETIC_GENERATOR_V1,SYNTHETIC
SAMARINDA_HALDIA_THERMAL,SAMARINDA,HALDIA,THERMAL_COAL,2580.0,7.7,SYNTHETIC_GENERATOR_V1,SYNTHETIC
MAPUTO_PARADIP_THERMAL,MAPUTO,PARADIP,THERMAL_COAL,4200.0,12.5,SYNTHETIC_GENERATOR_V1,SYNTHETIC
MAPUTO_PARADIP_COKING,MAPUTO,PARADIP,COKING_COAL,4200.0,12.5,SYNTHETIC_GENERATOR_V1,SYNTHETIC
MAPUTO_VISAKHAPATNAM_COKING,MAPUTO,VISAKHAPATNAM,COKING_COAL,4120.0,12.3,SYNTHETIC_GENERATOR_V1,SYNTHETIC
MAPUTO_GOPALPUR_THERMAL,MAPUTO,GOPALPUR,THERMAL_COAL,4160.0,12.4,SYNTHETIC_GENERATOR_V1,SYNTHETIC
NACALA_PARADIP_COKING,NACALA,PARADIP,COKING_COAL,3850.0,11.5,SYNTHETIC_GENERATOR_V1,SYNTHETIC
NACALA_VISAKHAPATNAM_COKING,NACALA,VISAKHAPATNAM,COKING_COAL,3780.0,11.3,SYNTHETIC_GENERATOR_V1,SYNTHETIC
NACALA_GANGAVARAM_COKING,NACALA,GANGAVARAM,COKING_COAL,3790.0,11.3,SYNTHETIC_GENERATOR_V1,SYNTHETIC
NACALA_DHAMRA_THERMAL,NACALA,DHAMRA,THERMAL_COAL,3880.0,11.5,SYNTHETIC_GENERATOR_V1,SYNTHETIC
HAMPTON_ROADS_PARADIP_COKING,HAMPTON_ROADS,PARADIP,COKING_COAL,11850.0,35.3,SYNTHETIC_GENERATOR_V1,SYNTHETIC
HAMPTON_ROADS_VISAKHAPATNAM_COKING,HAMPTON_ROADS,VISAKHAPATNAM,COKING_COAL,11780.0,35.1,SYNTHETIC_GENERATOR_V1,SYNTHETIC
HAMPTON_ROADS_GANGAVARAM_COKING,HAMPTON_ROADS,GANGAVARAM,COKING_COAL,11790.0,35.1,SYNTHETIC_GENERATOR_V1,SYNTHETIC
HAMPTON_ROADS_DHAMRA_COKING,HAMPTON_ROADS,DHAMRA,COKING_COAL,11880.0,35.4,SYNTHETIC_GENERATOR_V1,SYNTHETIC
BALTIMORE_PARADIP_COKING,BALTIMORE,PARADIP,COKING_COAL,11920.0,35.5,SYNTHETIC_GENERATOR_V1,SYNTHETIC
BALTIMORE_VISAKHAPATNAM_COKING,BALTIMORE,VISAKHAPATNAM,COKING_COAL,11850.0,35.3,SYNTHETIC_GENERATOR_V1,SYNTHETIC
