port_id,port_name,country,max_loa_m,max_beam_m,max_draft_m,handling_rate_tpd,typical_turnaround_hours,source,data_type
NEWCASTLE,Newcastle,Australia,300.0,50.0,16.5,40000.0,60.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
GLADSTONE,Gladstone,Australia,310.0,52.0,19.0,45000.0,54.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
HAMPTON_ROADS,Hampton Roads,USA,300.0,48.0,16.5,35000.0,66.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
BALTIMORE,Baltimore,USA,290.0,45.0,15.5,30000.0,72.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
MAPUTO,Maputo,Mozambique,250.0,38.0,14.5,22000.0,84.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
NACALA,Nacala,Mozambique,300.0,50.0,19.5,35000.0,66.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
TABONEO,Taboneo,Indonesia,260.0,42.0,15.0,20000.0,80.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
SAMARINDA,Samarinda,Indonesia,225.0,33.0,12.5,18000.0,90.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
PARADIP,Paradip,India,260.0,40.0,16.0,30000.0,84.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
VISAKHAPATNAM,Visakhapatnam,India,280.0,45.0,17.5,30000.0,78.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
GANGAVARAM,Gangavaram,India,300.0,48.0,19.5,35000.0,72.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
GOPALPUR,Gopalpur,India,230.0,33.0,14.5,20000.0,90.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
DHAMRA,Dhamra,India,300.0,48.0,19.0,35000.0,72.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
SAGAR_SANDHEADS,Sagar-Sandheads,India,225.0,32.5,11.5,15000.0,108.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
HALDIA,Haldia,India,220.0,32.0,10.5,16000.0,112.0,SYNTHETIC_GENERATOR_V1,SYNTHETIC
